Designator,Mid X,Mid Y,Rotation,Layer
BT1,229.382,-72.626,0.0,top
C1,228.582001,-123.453341,90.0,bottom
C14,231.882,-78.126,90.0,bottom
C15,240.618,-77.626,90.0,bottom
C16,238.882,-70.626,180.0,bottom
C2,224.618,-127.626,180.0,bottom
C3,242.1555,-94.626,0.0,bottom
C4,241.618,-112.626,180.0,bottom
C7,241.618,-115.626,180.0,bottom
C8,224.118,-116.126,90.0,bottom
C9,222.382,-78.126,270.0,bottom
D1,222.732,-69.5385,180.0,bottom
D16,250.279968,-74.347384,180.0,bottom
D17,269.330984,-71.961184,180.0,bottom
D18,288.382,-69.574984,180.0,bottom
D19,307.433016,-71.961184,180.0,bottom
D2,220.032,-69.5385,0.0,bottom
D20,326.433016,-76.721484,180.0,bottom
D21,345.484032,-76.721484,180.0,bottom
D22,250.279968,-93.3984,180.0,bottom
D23,269.330984,-91.0122,180.0,bottom
D47,288.382,-88.626,180.0,bottom
D48,307.433016,-91.0122,180.0,bottom
D49,326.433016,-95.7725,180.0,bottom
D50,345.484032,-95.7725,180.0,bottom
D51,250.279968,-112.449416,180.0,bottom
D52,269.330984,-110.063216,180.0,bottom
D53,288.382,-107.677016,180.0,bottom
D54,307.433016,-110.063216,180.0,bottom
D73,326.433016,-114.823516,180.0,bottom
D74,345.484032,-114.823516,180.0,bottom
D75,239.54974,-137.231638,162.0,bottom
D76,258.355674,-132.414415,171.0,bottom
D77,277.680984,-130.663216,180.0,bottom
H1,335.882,-81.17698,0.0,top
H2,244.882,-119.126,0.0,top
H3,236.632,-80.476,0.0,top
J1,222.432,-65.026,180.0,bottom
J6,216.382,-82.896,0.0,top
R1,225.382,-78.126,270.0,bottom
R10,234.382,-69.626,0.0,bottom
R2,219.882,-72.5385,90.0,bottom
R3,228.882,-78.126,270.0,bottom
R4,222.882,-72.5385,90.0,bottom
R5,225.618,-72.626,270.0,bottom
R6,216.118,-72.626,270.0,bottom
R7,242.118,-97.626,0.0,bottom
R8,227.118,-116.126,90.0,bottom
R9,240.618,-73.626,90.0,bottom
S1,234.282,-63.226,180.0,top
SW1,238.044895,-132.521582,18.0,top
SW11,288.382,-64.574984,0.0,top
SW12,345.484032,-90.7725,0.0,top
SW13,288.382,-83.626,0.0,top
SW14,269.330984,-86.0122,0.0,top
SW15,250.279968,-88.3984,0.0,top
SW2,326.433016,-90.7725,0.0,top
SW21,345.484032,-109.823516,0.0,top
SW22,326.433016,-109.823516,0.0,top
SW23,307.433016,-105.063216,0.0,top
SW24,269.330984,-66.961184,0.0,top
SW25,250.279968,-69.347384,0.0,top
SW3,345.484032,-71.721484,0.0,top
SW31,288.382,-102.677016,0.0,top
SW32,257.594613,-127.507778,9.0,top
SW33,277.680984,-125.663216,0.0,top
SW34,307.433016,-86.0122,0.0,top
SW35,269.330984,-105.063216,0.0,top
SW4,326.433016,-71.721484,0.0,top
SW41,250.279968,-107.449416,0.0,top
SW5,307.433016,-66.961184,0.0,top
SW6,218.7445,-119.626,270.0,top
U1,234.172004,-115.0122,270.0,bottom
U2,229.382,-98.876,0.0,bottom
U4,235.631998,-74.526,0.0,bottom
U5,224.632,-123.426,180.0,bottom
